cluster_id	purity
160	0.44954
161	0.701344
162	0.303631
163	0.62042
164	0.6447
165	0.465392
166	0.474493
167	0.420268
168	0.657387
169	0.496553
170	0.522794
171	0.619417
172	0.886901
173	0.656078
174	0.82173
175	0.718544
176	0.576243
177	0.579132
178	0.822643
179	0.616501
180	0.742538
181	0.77782
182	0.633509
183	0.422249
184	0.443419
185	0.831718
186	0.71602
187	0.759295
188	0.808693
189	0.612744
190	0.572518
191	0.635349
192	0.538517
193	0.456251
194	0.854826
195	0.829951
196	0.560998
197	0.581667
198	0.838237
199	0.408741
200	0.646109
201	0.797178
202	0.527231
203	0.515237
204	0.197377
205	0.638505
206	0.399662
207	0.920405
208	0.824797
209	0.743194
210	0.52686
211	0.354561
212	0.923558
213	0.814295
214	0.71826
215	0.649063
216	0.686084
217	0.540211
218	0.276065
219	0.661789
220	0.511893
221	0.743981
222	0.697702
223	0.645617
224	0.76919
225	0.725749
226	0.643721
227	0.444967
228	0.593072
229	0.677722
230	0.975855
231	0.713462
232	0.926049
233	0.622779
234	0.499238
235	0.659905
236	0.948601
237	0.613612
238	0.444816
239	0.408284
240	0.922223
241	0.606035
242	0.521478
243	0.772637
244	0.749029
245	0.766838
246	0.764881
247	0.599315
248	0.803589
249	0.414794
250	0.667918
251	0.705582
252	0.72976
253	0.726313
254	0.712347
255	0.75516
256	0.740017
257	0.784431
258	0.647523
259	0.894193
260	0.511778
261	0.686358
262	0.557878
263	0.798926
264	0.208067
265	0.703375
266	0.672093
267	0.467615
268	0.259143
269	0.319972
270	0.195658
271	0.564899
272	0.676192
273	0.495819
274	0.527938
275	0.936127
276	0.756179
277	0.631613
278	0.354761
279	0.766524
280	0.684483
281	0.588537
282	0.713316
283	0.763197
284	0.803002
285	0.607801
286	0.738327
287	0.339203
288	0.570852
289	0.834171
290	0.394645
291	0.581425
292	0.518279
293	0.880521
294	0.753694
295	0.522222
296	0.755966
297	0.377253
298	0.483236
299	0.748602
300	0.735118
301	0.507543
302	0.792692
303	0.787413
304	0.754767
305	0.678889
306	0.968756
307	0.737952
308	0.376085
309	0.647259
310	0.682559
311	0.796634
312	0.752512
313	0.77887
314	0.494824
315	0.850756
316	0.742012
317	0.683684
318	0.926867
319	0.66395
320	0.773648
321	0.440166
322	0.684528
323	0.399604
324	0.564903
325	0.376761
326	0.553373
327	0.437269
328	0.756654
329	0.784849
330	0.764819
331	0.750471
332	0.524924
333	0.548787
334	0.400733
335	0.747641
336	0.859106
337	0.30208
338	0.431661
339	0.636317
340	0.549852
341	0.627449
342	0.764157
343	0.441748
344	0.622778
345	0.338893
346	0.572083
347	0.450298
348	0.76804
349	0.78189
350	0.848364
351	0.585143
352	0.466258
353	0.609967
354	0.443383
355	0.772991
356	0.774971
357	0.508187
358	0.479694
359	0.430167
360	0.345662
361	0.304838
362	0.339288
363	0.352158
364	0.413336
365	0.356229
366	0.390308
367	0.856367
368	0.607605
369	0.79048
370	0.443659
371	0.529316
372	0.826626
373	0.45851
374	0.410708
375	0.657285
376	0.783704
377	0.916817
378	0.587771
379	0.610203
380	0.461758
381	0.4505
382	0.698361
383	0.540402
384	0.720774
385	0.527404
386	0.763864
387	0.349462
388	0.555261
389	0.405009
390	0.772909
391	0.924581
392	0.560128
393	0.765036
394	0.502167
395	0.70646
396	0.548556
397	0.40993
398	0.876935
399	0.482993
400	0.544139
401	0.612887
402	0.463689
403	0.697135
404	0.482653
405	0.805156
406	0.560683
407	0.850905
408	0.570052
409	0.951295
410	0.626198
411	0.710639
412	0.731112
413	0.369851
414	0.761846
415	0.731814
416	0.672959
417	0.701596
418	0.399148
419	0.673249
420	0.816912
421	0.659075
422	0.289701
423	0.868817
424	0.808906
425	0.767496
426	0.347759
427	0.658727
428	0.9278
429	0.667155
430	0.640786
431	0.829499
432	0.845799
433	0.812651
434	0.818167
435	0.519993
436	0.395315
437	0.594728
438	0.409135
439	0.599521
440	0.400338
441	0.808892
442	0.475457
443	0.701639
444	0.832332
445	0.761234
446	0.929684
447	0.737176
